Day	Ad Name	Delivery Status	Delivery Level	Campaign Name	Ad Set Name	Reach	Impressions	Clicks (All)	Unique Link Clicks	Amount Spent (BRL)	CPC (All)	Reporting Starts	Reporting Ends
6/5/2019	[remo] Top Fashion Brands | Conheça o site	not_delivering	ad	[remo] Traffic	[remo] Traffic | Top Fashion Brands	71	71	4	2	0.4	0.1	6/5/2019	6/5/2019
6/6/2019	[remo] Top Fashion Brands | Conheça o site	not_delivering	ad	[remo] Traffic	[remo] Traffic | Top Fashion Brands	93	97	6	2	0.64	0.10666667	6/6/2019	6/6/2019
8/27/2019	[remo] Seguidores (Instagram) | Grupo WhatsApp - Image 4 - Copy 3	not_delivering	ad	[remo] Traffic	[remo] Traffic | Top Fashion Brands	6	6	1		0.03	0.03	8/27/2019	8/27/2019
6/7/2019	[remo] Top Fashion Brands | Conheça o site	not_delivering	ad	[remo] Traffic	[remo] Traffic | Top Fashion Brands	148	149	5	1	0.72	0.144	6/7/2019	6/7/2019
8/25/2019	[remo] Seguidores (Instagram) | Grupo WhatsApp - Image 4 - Copy 3	not_delivering	ad	[remo] Traffic	[remo] Traffic | Top Fashion Brands	8	8	1	1	0.03	0.03	8/25/2019	8/25/2019
8/18/2019	[remo] Seguidores (Instagram) | Grupo WhatsApp - Image 4 - Copy 3	not_delivering	ad	[remo] Traffic	[remo] Traffic | Top Fashion Brands	11	12	1	1	0.05	0.05	8/18/2019	8/18/2019
8/14/2019	[remo] Seguidores (Instagram) | Grupo WhatsApp - Image 4 - Copy 3	not_delivering	ad	[remo] Traffic	[remo] Traffic | Top Fashion Brands	11	11	1	1	0.04	0.04	8/14/2019	8/14/2019
8/11/2019	[remo] Seguidores (Instagram) | Grupo WhatsApp - Image 4 - Copy 3	not_delivering	ad	[remo] Traffic	[remo] Traffic | Top Fashion Brands	5	5	1	1	0.05	0.05	8/11/2019	8/11/2019
8/10/2019	[remo] Seguidores (Instagram) | Grupo WhatsApp - Image 4 - Copy 3	not_delivering	ad	[remo] Traffic	[remo] Traffic | Top Fashion Brands	1	1	0		0.01		8/10/2019	8/10/2019
8/8/2019	[remo] Seguidores (Instagram) | Grupo WhatsApp - Image 4 - Copy 3	not_delivering	ad	[remo] Traffic	[remo] Traffic | Top Fashion Brands	1	1	0		0		8/8/2019	8/8/2019
8/7/2019	[remo] Seguidores (Instagram) | Grupo WhatsApp - Image 4 - Copy 3	not_delivering	ad	[remo] Traffic	[remo] Traffic | Top Fashion Brands	1	1	0		0.01		8/7/2019	8/7/2019
8/6/2019	[remo] Seguidores (Instagram) | Grupo WhatsApp - Image 4 - Copy 3	not_delivering	ad	[remo] Traffic	[remo] Traffic | Top Fashion Brands	19	22	2	2	0.06	0.03	8/6/2019	8/6/2019
5/25/2019	[remo] Top Fashion Brands | Conheça o site	not_delivering	ad	[remo] Traffic	[remo] Traffic | Top Fashion Brands	65	66	2	2	0.53	0.265	5/25/2019	5/25/2019
5/28/2019	[remo] Top Fashion Brands | Conheça o site	not_delivering	ad	[remo] Traffic	[remo] Traffic | Top Fashion Brands	156	156	3		0.86	0.28666667	5/28/2019	5/28/2019
7/30/2019	[remo] Seguidores (Instagram) | Grupo WhatsApp - Image 4 - Copy 3	not_delivering	ad	[remo] Traffic	[remo] Traffic | Top Fashion Brands	64	67	3		0.28	0.09333333	7/30/2019	7/30/2019
6/8/2019	[remo] Top Fashion Brands | Conheça o site	not_delivering	ad	[remo] Traffic	[remo] Traffic | Top Fashion Brands	139	140	5	3	0.71	0.142	6/8/2019	6/8/2019
6/17/2019	[remo] Top Fashion Brands | Conheça o site	not_delivering	ad	[remo] Traffic	[remo] Traffic | Top Fashion Brands	383	385	17	11	1.93	0.11352941	6/17/2019	6/17/2019
6/20/2019	[remo] Top Fashion Brands | Conheça o site	not_delivering	ad	[remo] Traffic	[remo] Traffic | Top Fashion Brands	1132	1167	64	31	5.19	0.08109375	6/20/2019	6/20/2019
6/15/2019	[remo] Top Fashion Brands | Conheça o site	not_delivering	ad	[remo] Traffic	[remo] Traffic | Top Fashion Brands	83	83	3	2	0.43	0.14333333	6/15/2019	6/15/2019
6/26/2019	[remo] Top Fashion Brands | Conheça o site	not_delivering	ad	[remo] Traffic	[remo] Traffic | Top Fashion Brands	837	874	20	10	3.51	0.1755	6/26/2019	6/26/2019
6/23/2019	[remo] Top Fashion Brands | Conheça o site	not_delivering	ad	[remo] Traffic	[remo] Traffic | Top Fashion Brands	774	799	28	13	2.99	0.10678571	6/23/2019	6/23/2019
6/14/2019	[remo] Top Fashion Brands | Conheça o site	not_delivering	ad	[remo] Traffic	[remo] Traffic | Top Fashion Brands	111	113	5	3	0.57	0.114	6/14/2019	6/14/2019
6/18/2019	[remo] Top Fashion Brands | Conheça o site	not_delivering	ad	[remo] Traffic	[remo] Traffic | Top Fashion Brands	1272	1352	55	29	4.21	0.07654545	6/18/2019	6/18/2019
6/9/2019	[remo] Top Fashion Brands | Conheça o site	not_delivering	ad	[remo] Traffic	[remo] Traffic | Top Fashion Brands	117	120	5	3	0.59	0.118	6/9/2019	6/9/2019
6/2/2019	[remo] Top Fashion Brands | Conheça o site	not_delivering	ad	[remo] Traffic	[remo] Traffic | Top Fashion Brands	174	177	6	5	0.79	0.13166667	6/2/2019	6/2/2019
5/29/2019	[remo] Top Fashion Brands | Conheça o site	not_delivering	ad	[remo] Traffic	[remo] Traffic | Top Fashion Brands	112	113	3	1	0.74	0.24666667	5/29/2019	5/29/2019
6/16/2019	[remo] Top Fashion Brands | Conheça o site	not_delivering	ad	[remo] Traffic	[remo] Traffic | Top Fashion Brands	92	92	6	4	0.42	0.07	6/16/2019	6/16/2019
6/10/2019	[remo] Top Fashion Brands | Conheça o site	not_delivering	ad	[remo] Traffic	[remo] Traffic | Top Fashion Brands	188	193	8	4	0.84	0.105	6/10/2019	6/10/2019
6/3/2019	[remo] Top Fashion Brands | Conheça o site	not_delivering	ad	[remo] Traffic	[remo] Traffic | Top Fashion Brands	67	67	1		0.36	0.36	6/3/2019	6/3/2019
5/24/2019	[remo] Top Fashion Brands | Conheça o site	not_delivering	ad	[remo] Traffic	[remo] Traffic | Top Fashion Brands	65	66	2	1	0.4	0.2	5/24/2019	5/24/2019
5/22/2019	[remo] Top Fashion Brands | Conheça o site	not_delivering	ad	[remo] Traffic	[remo] Traffic | Top Fashion Brands	65	65	3	3	0.48	0.16	5/22/2019	5/22/2019
5/31/2019	[remo] Top Fashion Brands | Conheça o site	not_delivering	ad	[remo] Traffic	[remo] Traffic | Top Fashion Brands	126	126	9	6	0.79	0.08777778	5/31/2019	5/31/2019
5/27/2019	[remo] Top Fashion Brands | Conheça o site	not_delivering	ad	[remo] Traffic	[remo] Traffic | Top Fashion Brands	156	161	7	6	0.79	0.11285714	5/27/2019	5/27/2019
8/5/2019	[remo] Seguidores (Instagram) | Grupo WhatsApp - Image 4 - Copy 3	not_delivering	ad	[remo] Traffic	[remo] Traffic | Top Fashion Brands	21	22	0		0.08		8/5/2019	8/5/2019
7/29/2019	[remo] Seguidores (Instagram) | Grupo WhatsApp - Image 4 - Copy 3	not_delivering	ad	[remo] Traffic	[remo] Traffic | Top Fashion Brands	33	33	2	1	0.11	0.055	7/29/2019	7/29/2019
6/19/2019	[remo] Top Fashion Brands | Conheça o site	not_delivering	ad	[remo] Traffic	[remo] Traffic | Top Fashion Brands	1066	1111	37	24	4.32	0.11675676	6/19/2019	6/19/2019
6/27/2019	[remo] Seguidores (Instagram) | Grupo WhatsApp - Image 4 - Copy 3	not_delivering	ad	[remo] Traffic	[remo] Traffic | Top Fashion Brands	65	72	0		0.27		6/27/2019	6/27/2019
7/17/2019	[remo] Seguidores (Instagram) | Grupo WhatsApp - Image 4 - Copy 3	not_delivering	ad	[remo] Traffic	[remo] Traffic | Top Fashion Brands	47	51	4	3	0.12	0.03	7/17/2019	7/17/2019
7/14/2019	[remo] Seguidores (Instagram) | Grupo WhatsApp - Image 4 - Copy 3	not_delivering	ad	[remo] Traffic	[remo] Traffic | Top Fashion Brands	8	9	0		0.01		7/14/2019	7/14/2019
7/3/2019	[remo] Seguidores (Instagram) | Grupo WhatsApp - Image 4 - Copy 3	not_delivering	ad	[remo] Traffic	[remo] Traffic | Top Fashion Brands	19	20	0		0.03		7/3/2019	7/3/2019
6/25/2019	[remo] Seguidores (Instagram) | Grupo WhatsApp - Image 4 - Copy 3	not_delivering	ad	[remo] Traffic	[remo] Traffic | Top Fashion Brands	88	105	2	1	0.22	0.11	6/25/2019	6/25/2019
6/29/2019	[remo] Seguidores (Instagram) | Grupo WhatsApp - Image 4 - Copy 3	not_delivering	ad	[remo] Traffic	[remo] Traffic | Top Fashion Brands	34	39	3	1	0.19	0.06333333	6/29/2019	6/29/2019
6/21/2019	[remo] Seguidores (Instagram) | Grupo WhatsApp - Image 4 - Copy 3	not_delivering	ad	[remo] Traffic	[remo] Traffic | Top Fashion Brands	62	68	2	1	0.25	0.125	6/21/2019	6/21/2019
7/8/2019	[remo] Seguidores (Instagram) | Grupo WhatsApp - Image 4 - Copy 3	not_delivering	ad	[remo] Traffic	[remo] Traffic | Top Fashion Brands	11	11	0		0.07		7/8/2019	7/8/2019
7/2/2019	[remo] Seguidores (Instagram) | Grupo WhatsApp - Image 4 - Copy 3	not_delivering	ad	[remo] Traffic	[remo] Traffic | Top Fashion Brands	87	99	2	1	0.13	0.065	7/2/2019	7/2/2019
7/10/2019	[remo] Seguidores (Instagram) | Grupo WhatsApp - Image 4 - Copy 3	not_delivering	ad	[remo] Traffic	[remo] Traffic | Top Fashion Brands	18	19	0		0.09		7/10/2019	7/10/2019
6/22/2019	[remo] Seguidores (Instagram) | Grupo WhatsApp - Image 4 - Copy 3	not_delivering	ad	[remo] Traffic	[remo] Traffic | Top Fashion Brands	84	92	4	2	0.27	0.0675	6/22/2019	6/22/2019
7/1/2019	[remo] Seguidores (Instagram) | Grupo WhatsApp - Image 4 - Copy 3	not_delivering	ad	[remo] Traffic	[remo] Traffic | Top Fashion Brands	137	138	1		0.21	0.21	7/1/2019	7/1/2019
